stock_code,issuer_name,listing_date,prospectus_date,board,lifecycle_stage,decision_tier,pre_listing_score,model_recommendation,risk_tags
2050.HK,三花智控,2025-06-23,2025-07-18,主板,已上市/半新股,A 高优先,77.4,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,孖展拥挤；基石阵容较多
2609.HK,佰泽医疗,2025-06-23,2025-06-20,主板,已上市/半新股,D 回避/仅跟踪,46.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2617.HK,药捷安康-B,2025-06-23,2025-06-20,主板,已上市/半新股,B 重点观察,74.3,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
3288.HK,海天味业,2025-06-19,2025-07-17,主板,已上市/半新股,A 高优先,78.8,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,孖展拥挤；一手中签率低；基石阵容较多
9881.HK,容大科技,2025-06-10,2025-07-07,主板,已上市/半新股,C 等待触发,54.6,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2605.HK,元光科技,2025-06-10,2025-06-09,主板,已上市/半新股,C 等待触发,52.1,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2573.HK,新琪安,2025-06-10,2025-06-09,主板,已上市/半新股,D 回避/仅跟踪,48.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2621.HK,手回集团,2025-05-30,2025-06-26,主板,已上市/半新股,B 重点观察,63.9,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；一手中签率低
2603.HK,吉宏股份,2025-05-27,2025-05-26,主板,已上市/半新股,D 回避/仅跟踪,48.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2565.HK,派格生物医药-B,2025-05-27,2025-05-26,主板,已上市/半新股,C 等待触发,59.8,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤
1276.HK,恒瑞医药,2025-05-23,2025-06-19,主板,已上市/半新股,B 重点观察,66.3,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
2629.HK,MIRXES-B,2025-05-23,2025-05-22,主板,已上市/半新股,D 回避/仅跟踪,47.4,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
3750.HK,宁德时代,2025-05-20,2025-05-20,主板,已上市/半新股,C 等待触发,59.8,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6831.HK,绿茶集团,2025-05-16,2025-06-12,主板,已上市/半新股,C 等待触发,61.2,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2865.HK,钧达股份,2025-05-08,2025-06-02,主板,已上市/半新股,D 回避/仅跟踪,47.4,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2589.HK,沪上阿姨,2025-05-08,2025-06-01,主板,已上市/半新股,B 重点观察,74.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤
1333.HK,博雷顿,2025-05-07,2025-05-06,主板,已上市/半新股,D 回避/仅跟踪,49.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
9606.HK,映恩生物-B,2025-04-15,2025-05-06,主板,已上市/半新股,B 重点观察,62.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
3677.HK,正力新能,2025-04-14,2025-05-09,主板,已上市/半新股,C 等待触发,51.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2625.HK,江苏宏信,2025-03-31,2025-03-28,主板,已上市/半新股,D 回避/仅跟踪,44.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
2569.HK,舒宝国际,2025-03-27,2025-03-26,主板,已上市/半新股,D 回避/仅跟踪,48.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2610.HK,南山铝业国际,2025-03-25,2025-04-22,主板,已上市/半新股,D 回避/仅跟踪,49.1,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2561.HK,维昇药业-B,2025-03-21,2025-04-17,主板,已上市/半新股,C 等待触发,50.5,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6693.HK,赤峰黄金,2025-03-10,2025-04-06,主板,已上市/半新股,D 回避/仅跟踪,49.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
6676.HK,找钢网-W,2025-03-10,2025-03-07,主板,已上市/半新股,D 回避/仅跟踪,45.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2097.HK,蜜雪集团,2025-03-03,2025-03-28,主板,已上市/半新股,A 高优先,87.0,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；基石阵容较多
1364.HK,古茗,2025-02-12,2025-03-09,主板,已上市/半新股,C 等待触发,59.6,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2571.HK,赛目科技,2025-01-15,2025-02-10,主板,已上市/半新股,D 回避/仅跟踪,46.2,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
0805.HK,新吉奥房车,2025-01-13,2025-08-31,主板,已上市/半新股,D 回避/仅跟踪,45.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2596.HK,宜宾银行,2025-01-13,2025-02-07,主板,已上市/半新股,D 回避/仅跟踪,45.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
0325.HK,布鲁可,2025-01-10,2025-02-06,主板,已上市/半新股,A 高优先,89.5,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤
2530.HK,纽曼思,2025-01-10,2025-01-09,主板,已上市/半新股,D 回避/仅跟踪,46.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2613.HK,汇舸环保,2025-01-09,2025-01-08,主板,已上市/半新股,D 回避/仅跟踪,47.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2560.HK,海螺材料科技,2025-01-09,2025-01-08,主板,已上市/半新股,C 等待触发,50.9,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
6681.HK,脑动极光-B,2025-01-08,2025-02-02,主板,已上市/半新股,D 回避/仅跟踪,49.1,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2577.HK,英诺赛科,2024-12-30,2025-01-22,主板,已上市/半新股,C 等待触发,50.8,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2506.HK,讯飞医疗科技,2024-12-30,2025-01-22,主板,已上市/半新股,C 等待触发,52.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2587.HK,健康之路,2024-12-30,2024-12-27,主板,已上市/半新股,D 回避/仅跟踪,49.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2431.HK,佑驾创新,2024-12-27,2025-01-20,主板,已上市/半新股,D 回避/仅跟踪,48.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2432.HK,越疆,2024-12-23,2025-01-17,主板,已上市/半新股,D 回避/仅跟踪,46.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
0999.HK,小菜园,2024-12-20,2025-01-16,主板,已上市/半新股,D 回避/仅跟踪,46.4,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2593.HK,草姬集团,2024-12-19,2024-12-18,主板,已上市/半新股,B 重点观察,74.2,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
1318.HK,毛戈平,2024-12-10,2025-01-06,主板,已上市/半新股,A 高优先,80.6,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,孖展拥挤；基石阵容较多
2586.HK,多点数智,2024-12-06,2025-01-02,主板,已上市/半新股,D 回避/仅跟踪,47.2,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2570.HK,重塑能源,2024-12-06,2025-01-02,主板,已上市/半新股,D 回避/仅跟踪,46.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2585.HK,梦金园,2024-11-29,2024-12-27,主板,已上市/半新股,D 回避/仅跟踪,48.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,基石阵容较多
2566.HK,九源基因,2024-11-28,2024-11-27,主板,已上市/半新股,B 重点观察,62.5,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
6936.HK,顺丰控股,2024-11-27,2026-03-30,主板,已上市/半新股,C 等待触发,58.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2582.HK,国富氢能,2024-11-15,2024-11-14,主板,已上市/半新股,D 回避/仅跟踪,47.3,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2519.HK,傲基股份,2024-11-08,2024-12-05,主板,已上市/半新股,D 回避/仅跟踪,48.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2551.HK,晶科电子股份,2024-11-08,2024-11-07,主板,已上市/半新股,B 重点观察,73.6,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2510.HK,德翔海运,2024-11-01,2024-11-28,主板,已上市/半新股,D 回避/仅跟踪,48.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,基石阵容较多
2563.HK,华昊中天医药-B,2024-10-31,2024-10-30,主板,已上市/半新股,D 回避/仅跟踪,48.1,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
2465.HK,龙蟠科技,2024-10-30,2026-01-15,主板,已上市/半新股,D 回避/仅跟踪,47.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2562.HK,狮腾控股,2024-10-30,2024-10-29,主板,已上市/半新股,D 回避/仅跟踪,45.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
9660.HK,地平线机器人-W,2024-10-24,2024-11-20,主板,已上市/半新股,C 等待触发,54.2,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2460.HK,华润饮料,2024-10-23,2024-11-12,主板,已上市/半新股,B 重点观察,67.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,基石阵容较多
2567.HK,七牛智能,2024-10-16,2024-11-11,主板,已上市/半新股,D 回避/仅跟踪,46.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
9639.HK,荣利营造,2024-10-09,2024-10-08,主板,已上市/半新股,C 等待触发,50.4,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2576.HK,太美医疗科技,2024-10-08,2024-11-03,主板,已上市/半新股,D 回避/仅跟踪,46.7,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
2549.HK,卡罗特,2024-10-02,2024-10-28,主板,已上市/半新股,B 重点观察,71.4,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤
0300.HK,美的集团,2024-09-17,2024-10-14,主板,已上市/半新股,C 等待触发,57.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
8629.HK,集信国控,2024-09-06,2025-12-31,创业板,已上市/半新股,D 回避/仅跟踪,44.1,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2410.HK,同源康医药-B,2024-08-20,2024-08-19,主板,已上市/半新股,D 回避/仅跟踪,47.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2533.HK,黑芝麻智能,2024-08-08,2024-09-04,主板,已上市/半新股,D 回避/仅跟踪,47.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
1471.HK,众淼控股,2024-08-06,2024-09-05,主板,已上市/半新股,D 回避/仅跟踪,48.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2531.HK,广联科技控股,2024-07-15,2024-07-12,主板,已上市/半新股,D 回避/仅跟踪,47.5,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2507.HK,西锐,2024-07-12,2024-08-08,主板,已上市/半新股,C 等待触发,52.9,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
1334.HK,瑞昌国际控股,2024-07-10,2024-08-05,主板,已上市/半新股,D 回避/仅跟踪,49.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2495.HK,声通科技,2024-07-10,2024-08-04,主板,已上市/半新股,D 回避/仅跟踪,47.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
9680.HK,如祺出行,2024-07-10,2024-07-09,主板,已上市/半新股,D 回避/仅跟踪,49.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
6086.HK,方舟健客,2024-07-09,2024-08-05,主板,已上市/半新股,D 回避/仅跟踪,46.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
6657.HK,百望股份,2024-07-09,2024-08-04,主板,已上市/半新股,D 回避/仅跟踪,47.9,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2545.HK,中赣通信,2024-07-03,2025-05-12,主板,已上市/半新股,C 等待触发,50.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
1354.HK,经发物业,2024-07-03,2024-07-29,主板,已上市/半新股,D 回避/仅跟踪,47.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
8637.HK,元续科技,2024-07-02,2024-06-28,创业板,已上市/半新股,B 重点观察,71.0,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2559.HK,嘀嗒出行,2024-06-28,2024-07-25,主板,已上市/半新股,D 回避/仅跟踪,47.0,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
6181.HK,老铺黄金,2024-06-28,2024-07-25,主板,已上市/半新股,C 等待触发,61.7,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；一手中签率低
2479.HK,天聚地合,2024-06-28,2024-06-27,主板,已上市/半新股,C 等待触发,58.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；一手中签率低
2881.HK,武汉有机,2024-06-18,2024-07-15,主板,已上市/半新股,C 等待触发,50.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2512.HK,云工场,2024-06-14,2024-10-25,主板,已上市/半新股,D 回避/仅跟踪,46.3,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2228.HK,晶泰控股,2024-06-13,2024-07-07,主板,已上市/半新股,C 等待触发,55.9,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2550.HK,宜搜科技,2024-06-07,2024-06-06,主板,已上市/半新股,D 回避/仅跟踪,45.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2522.HK,一脉阳光,2024-06-07,2024-06-06,主板,已上市/半新股,C 等待触发,51.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低
8529.HK,优博控股,2024-06-03,2024-05-31,创业板,已上市/半新股,B 重点观察,70.5,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2443.HK,汽车街,2024-05-31,2024-05-30,主板,已上市/半新股,C 等待触发,52.3,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2505.HK,EDA集团控股,2024-05-28,2024-06-24,主板,已上市/半新股,D 回避/仅跟踪,48.2,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
0917.HK,趣致集团,2024-05-27,2024-05-24,主板,已上市/半新股,D 回避/仅跟踪,48.6,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2898.HK,盛禾生物-B,2024-05-24,2024-05-23,主板,已上市/半新股,D 回避/仅跟踪,46.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2529.HK,泓盈城市服务,2024-05-17,2026-04-17,主板,已上市/半新股,C 等待触发,50.7,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
2556.HK,迈富时,2024-05-16,2024-05-14,主板,已上市/半新股,C 等待触发,50.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
2438.HK,出门问问,2024-04-24,2024-05-19,主板,已上市/半新股,D 回避/仅跟踪,49.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2555.HK,茶百道,2024-04-23,2024-05-20,主板,已上市/半新股,D 回避/仅跟踪,45.8,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2515.HK,天津建发,2024-04-23,2024-05-20,主板,已上市/半新股,C 等待触发,53.0,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,等待更多结构数据
