code,name,listing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_date,board,offering_type,is_latest,offer_price_low,offer_price_high,issue_price,board_lot,market_cap_hkdm,offer_shares,public_offer_shares,placing_shares,gross_proceeds_hkd,net_proceeds_hkd,proceeds_currency,use_of_proceeds,public_subscription_multiple,international_subscription_multiple,valuation_metric,source_table
3986.HK,兆易创新,2026-01-13,2026-02-08,2025-12-31,2026-01-08,2026-01-09,2026-01-12,主板,"发售以供认购,发售以供配售",是,132.0,162.0,162.0,100,16363.38,28915800,2891600,26024200,5387002200.0,5307900000.0,HKD,"约40.0%将用于持续提升公司的研发能力。约35.0%将用于战略性行业相关投资及收购。约9.0%将用于公司的全球战略扩张及加强公司的全球影响力,包括加强公司的全球营销及服务网络。约6.0%将用于提高营运效率。约10.0%将用于营运资金及其他一般企业用途。",542.22,18.52,43.287092030517,首发信息一览
1641.HK,红星冷链,2026-01-13,2026-01-12,2025-12-31,2026-01-08,2025-12-31,2026-01-12,主板,"发售以供认购,发售以供配售",是,12.26,12.26,12.26,500,6191.83,23263000,2326500,20936500,285204380.0,252330000.0,HKD,"约57.5%将用于在未来四年新建一座加工厂及扩建冷冻食品仓储仓库,配备加工设备及系统,以为客户提供冷冻食品加工服务。约12.8%将用于升级公司现有业务中使用的设备、信息技术基础设施及软件,包括投资人工智能技术以赋能公司的运营及客户。约19.7%将用于在未来四年寻求战略收购及合作伙伴关系,以完善公司的产业一体化,从而巩固公司于全冷链生态系统中的地位。约10.0%将用作营运资金及其他一般公司用途。",2309.25,1.65,7.6559343162963,首发信息一览
8610.HK,BBSB INTL,2026-01-13,2026-01-12,2025-12-31,2026-01-08,2026-01-09,2026-01-12,创业板,"发售以供认购,发售以供配售",是,0.6,0.7,0.6,4000,2828.24,125000000,12500000,112500000,75000000.0,50000000.0,HKD,"约65.2%将用于加强公司的财务状况,以支付(a)主要包括分包成本、材料成本及机器租赁成本的前期成本及(b)聘请额外项目管理人员的前期成本,以支持公司的业务扩展;约19.8%将用于扩充人手以支持各地区增长;约5.0%将用于集团资讯系统及内部流程的升级及数字化;约10.0%将用作公司的一般营运资金用途",10745.13,1.01,18.666666666667,首发信息一览
0501.HK,豪威集团,2026-01-12,2026-02-06,2025-12-31,2026-01-07,2026-01-08,2026-01-09,主板,"发售以供认购,发售以供配售",是,,104.8,104.8,100,10585.69,45800000,4580000,41220000,5317667280.0,5204400000.0,HKD,"约70%将在未来五至十年用于投资关键技术的研发,保证公司在先进传感技术、先进显示技术及模拟解决方案的持续领先地位。约10%将在未来五至十年用于强化全球市场渗透及业务扩张。约10%将用于战略投资及╱或收购,重点聚焦能与公司现有产品组合产生协同效应、提升公司的设计能力、工艺技术与供应链能力及支持向新兴领域(例如中国、日本及韩国的运动相机及机器人)横向拓展的投资和收购机遇。约10%将用于营运资金及一般公司用途。",9.28,9.73,40.874557311529,首发信息一览
3636.HK,金浔资源,2026-01-09,2026-02-05,2025-12-31,2026-01-06,2025-12-31,2026-01-08,主板,"发售以供认购,发售以供配售",是,30.0,30.0,30.0,200,6060.51,36765600,3676600,33089000,1268412000.0,1206330000.0,HKD,"约80%的所得款项净额将用于扩展公司的核心业务。约10%的所得款项净额将用于偿还公司若干计息银行借款,该等借款用作营运资金。约10%的所得款项净额将用于营运资金及一般公司用途。",143.46,12.78,36.960861297433,首发信息一览
6938.HK,瑞博生物-B,2026-01-09,2026-02-05,2025-12-31,2026-01-06,2025-12-31,2026-01-08,主板,"发售以供认购,发售以供配售",是,57.97,57.97,57.97,200,11710.93,27487400,2748800,24738600,2107313846.0,1964270000.0,HKD,约37.4%将用于核心产品RBD4059的研发;约19.6%将用于RBD5044的研发;约15.9%将用于RBD1016的研发;约10.1%将为研发处于临床前申报试验阶段的管线资产;约8.9%将分配用于推进公司尚未进入临床前申报试验阶段的临床前资产的开发及加强公司的技术平台;约8.1%将用于营运资金及其他一般公司用途。,101.06,16.7,36.918116847034,首发信息一览
0100.HK,MINIMAX-W,2026-01-09,2026-01-11,2025-12-31,2026-01-06,2026-01-07,2026-01-08,主板,"发售以供认购,发售以供配售",是,151.0,165.0,165.0,20,3333.28,25389220,1269480,24119740,5540244600.0,5293390000.0,HKD,"约90%所得款项净额将用于公司未来五年的研发,包括开发公司的大模型和公司的AI原生产品。约10.0%所得款项净额将被分配至营运资金及一般企业用途。",1837.17,36.76,49.152461607923,首发信息一览
2675.HK,精锋医疗-B,2026-01-08,2026-02-04,2025-12-30,2026-01-05,2025-12-30,2026-01-07,主板,"发售以供认购,发售以供配售",是,43.24,43.24,43.24,100,4367.61,27722200,2772300,24949900,1378512820.0,1289200000.0,HKD,约42.0%分配至核心产品的进行中和规划中的研发;约20.0%将用于公司核心产品的商业化;约10.0%将用于扩大产能;约8.0%分配至其他产品和在研产品;约10.0%的所得款项净额将用于手术机器人行业及相关领域的潜在策略收购、投资或合作;约10.0%的所得款项净额将用于营运资金及一般企业用途。,1091.94,25.18,42.328696224965,首发信息一览
2513.HK,智谱,2026-01-08,2026-02-04,2025-12-30,2026-01-05,2025-12-30,2026-01-07,主板,"发售以供认购,发售以供配售",是,116.2,116.2,116.2,100,11737.19,37419500,1871000,35548500,5000364880.0,4806000000.0,HKD,约70.0%将用于持续增强公司在通用AI大模型方面的研发能力;约10.0%将用于通过提供最新的基座模型以及训练╱推理工具及基础设施持续优化公司的MaaS平台;约10.0%将用于发展业务合作伙伴网络以及进行战略投资;约10.0%将用于营运资金及其他一般企业用途。,1159.46,15.28,59.679683215438,首发信息一览
9903.HK,天数智芯,2026-01-08,2026-01-07,2025-12-30,2026-01-05,2025-12-30,2026-01-07,主板,"发售以供认购,发售以供配售",是,144.6,144.6,144.6,100,14605.83,25431800,2543200,22888600,3677438280.0,3509300000.0,HKD,约80.0%将用于研发公司的产品及解决方案;约10.0%将于未来五年内用于销售及市场推广;约10.0%将用于营运资金及一般企业用途。,414.24,10.68,43.018189825337,首发信息一览
6082.HK,壁仞科技,2026-01-02,2026-01-28,2025-12-22,2025-12-29,2025-12-30,2025-12-31,主板,"发售以供认购,发售以供配售",是,17.0,19.6,19.6,200,3959.54,247692800,12384800,235308000,6420438640.0,6196400000.0,HKD,约85.0%将用于日后研发公司的智能计算解决方案;约5.0%将用于公司智能计算解决方案的商业化;约10.0%将用作营运资金及一般公司用途。,2347.53,25.95,45.158768155442,首发信息一览
3317.HK,迅策,2025-12-30,2026-01-23,2025-12-18,2025-12-23,2025-12-24,2025-12-29,主板,"发售以供认购,发售以供配售",是,48.0,55.0,48.0,100,5555.47,22500000,2250000,20250000,1089331200.0,974710000.0,HKD,所得款项净额约80%将用于公司解决方案的正持续进行和未来的研发工作;所得款项净额约10%将用于提升营销能力;所得款项净额的其余10%将分配作营运资金及其他一般业务用途。,7.24,3.1,28.257641018636,首发信息一览
6600.HK,卧安机器人,2025-12-30,2026-01-22,2025-12-18,2025-12-23,2025-12-24,2025-12-29,主板,"发售以供认购,发售以供配售",是,63.0,81.0,73.8,100,8181.69,22222300,2222300,20000000,1871280180.0,1769360000.0,HKD,"约66.5%将用于持续提升公司的研发能力,以进一步开发与公司家庭机器人系统相关的关键技术及产品;约19.8%将用于扩大公司的销售渠道及地区覆盖及提升公司品牌的全球知名度;约3.8%将用于偿还(i)按年利率2.24%计息的中信银行部分未偿还定期贷款及(ii)按年利率2.24%计息的中国银行部分未偿还定期贷款;约10.0%将用作一般营运资金及公司用途。",254.5,8.9,37.40746670015,首发信息一览
6651.HK,五一视界,2025-12-30,2026-01-22,2025-12-18,2025-12-23,2025-12-18,2025-12-29,主板,"发售以供认购,发售以供配售",是,30.5,30.5,30.5,200,6161.51,23975200,1198800,22776400,731243600.0,649900000.0,HKD,所得款项净额约80.0%预期将用于公司的研发举措；所得款项净额约10.0%预期将用于中国及海外的营销活动；所得款项净额约10.0%预期将用于营运资金及一般企业用途。,256.01,2.6,,首发信息一览
2657.HK,林清轩,2025-12-30,2026-01-22,2025-12-18,2025-12-23,2025-12-18,2025-12-29,主板,"发售以供认购,发售以供配售",是,77.77,77.77,77.77,50,3927.72,13966450,1396650,12569800,1249095078.0,1155600000.0,HKD,"20.0%品牌价值塑造与传播;20.0%提升全渠道销售网络的深化构建;15.0%加强生产及供应链能力;15.0%技术研发及产品组合开拓;15.0%内生孵化与外延并购双轮驱动,打造品牌矩阵;5.0%运营及信息基础设施数字化、智能化建设;10.0%营运资金及一般公司用途。",1235.81,19.79,38.632589984475,首发信息一览
3696.HK,英矽智能,2025-12-30,2026-01-16,2025-12-18,2025-12-23,2025-12-18,2025-12-29,主板,"发售以供认购,发售以供配售",是,24.05,24.05,24.05,500,12146.27,94690500,9469500,85221000,2618900700.0,2350300000.0,HKD,所得款项净额约48.0%用于为公司关键临床阶段管线候选药物的进一步临床研发提供资金。所得款项净额约15.0%用于开发新的生成式AI模型及相关的验证研究工作。所得款项净额约12.0%用于进一步开发及扩展公司的自动化实验室。所得款项净额约20.0%将用于为早期药物发现及开发(包括公司其他管线候选药物的临床前及临床阶段)的研发提供资金。所得款项净额约5.0%将用作营运资金及其他一般公司用途。,1427.37,26.27,34.168458544457,首发信息一览
2671.HK,美联股份,2025-12-30,2025-12-29,2025-12-18,2025-12-23,2025-12-24,2025-12-29,主板,"发售以供认购,发售以供配售",是,7.1,9.16,7.1,300,2775.71,24600000,2460000,22140000,174660000.0,139890000.0,HKD,"所得款项净额的约37.7%将用于资本投资,包括兴建生产设施及购置设备,以提升公司的生产能力及运营效率。所得款项净额的约26.7%将分配用于拨付与新项目有关的预付费用。所得款项净额的约12.3%将拨作支持销售及市场推广发展,包括成立销售和运营团队以及将公司的农业仓储产品商业化。所得款项净额的约9.3%将预留用作选择性收购及投资,旨在巩固公司的供应链及提升公司的技术能力。所得款项净额的约9.0%将分配用于增强公司的研发能力,注重产品和技术提升。约5.0%将分配用于营运资金及一般企业用途,以支援公司的日常运营及维持财务灵活性。",146.25,1.48,29.485858238864,首发信息一览
3378.HK,翰思艾泰-B,2025-12-23,2026-01-23,2025-12-15,2025-12-18,2025-12-19,2025-12-22,主板,"发售以供认购,发售以供配售",是,28.0,32.0,32.0,100,3232.27,18321000,1832100,16488900,586272000.0,531300000.0,HKD,约35%将用于公司的核心产品(即HX009)的研发;约33%将用于公司的主要产品(即HX301及HX044)的研发;约17%将用于公司其他重要产品的研发;约5%将用于为商业化及╱或业务发展活动提供资金;约10%将用于营运资金及其他一般企业用途。,3074.09,5.78,15.925986572785,首发信息一览
2635.HK,诺比侃,2025-12-23,2026-01-19,2025-12-15,2025-12-18,2025-12-19,2025-12-22,主板,"发售以供认购,发售以供配售",是,80.0,106.0,80.0,50,5353.45,3786600,378700,3407900,302928000.0,257430000.0,HKD,"约40.0%将用于进行及加强公司核心技术的继续研究,以巩固公司的技术能力以及产品及服务功能的基础;约40.0%将用于建设公司的研发技术中心和新总部基地;约10.0%将用于寻求潜在的战略投资及收购机会,以实施公司优化产品及解决方案的长期增长策略,并扩大及╱或渗透公司覆盖的终端客户行业;约10.0%将用作营运资金及一般公司用途。",188.74,2.08,,首发信息一览
2661.HK,轻松健康,2025-12-23,2026-01-18,2025-12-15,2025-12-18,2025-12-15,2025-12-22,主板,"发售以供认购,发售以供配售",是,22.68,22.68,22.68,200,4581.75,26540000,2654000,23886000,601927200.0,513420000.0,HKD,"所得款项净额的约40.0%,将用于提升公司的品牌知名度、提高用户参与度及加强与业务合作伙伴的合作。所得款项净额的约20.0%,将用于医学研究和真实世界研究。所得款项净额的约20.0%,将用于提升公司在AI及大数据领域的技术能力,以便更广泛应用于公司的产品及服务。所得款项净额的约10.0%,将用于拓展至更多地区及海外市场。所得款项净额的约10.0%,用作营运资金及其他一般公司用途。",1421.47,2.9,18.092690278824,首发信息一览
2396.HK,华芢生物-B,2025-12-22,2026-01-18,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,38.2,51.0,38.2,200,10302.88,17648800,1765000,15883800,674184160.0,599820000.0,HKD,"所得款项净额的约61.8%,将用于资助公司的核心产品Pro101-1及Pro-101-2的持续临床开发及商业化。所得款项净额的约18.8%将用于通过购买与研发及质量控制活动相关的专业设备及仪器来提升公司的研发能力。所得款项净额的约6.3%将用于支付公司核心产品以外的PDGF产品用于治疗其他适应症(如新鲜创面、压疮及放射性溃疡)的持续临床前研发的第三方服务费、研发人员费用及原材料成本。所得款项净额的约3.1%将用于支付Mes-201、Oli-101及Oli201临床前研发活动的第三方服务费、研发人员费用及原材料成本。所得款项净额的约10.0%用作营运资金及一般公司用途。",791.95,6.05,,首发信息一览
2691.HK,南华期货股份,2025-12-22,2026-01-16,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,12.0,16.0,12.0,500,8080.68,107659000,10766000,96893000,1291908000.0,1202950000.0,HKD,约30%将用于增加公司香港经营业务的资本基础;约30%将用于增加公司于英国经营业务的资本基础;约20%将用于增加公司于美国经营业务的资本基础;约10%将用于增加公司于新加坡经营业务的资本基础;约10%将用作一般企业用途及补充公司境外经营业务的营运资金。,1.91,0.99,,首发信息一览
2581.HK,明基医院,2025-12-22,2025-12-19,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,9.34,11.68,9.34,500,5898.9,67000000,6700000,60300000,625780000.0,554500000.0,HKD,约74.3%将拨作扩建及升级现有医院的资金。16.0%将拨作潜在投资及并购机会的资金。8.0%将拨作升级公司‘智慧医院’的资金。1.8%将用作营运资金及一般企业用途。,6.28,1.28,49.629850746269,首发信息一览
2695.HK,印象大红袍,2025-12-22,2025-12-19,2025-12-12,2025-12-17,2025-12-18,2025-12-19,主板,"发售以供认购,发售以供配售",是,3.47,4.1,3.6,1000,4141.35,36100000,3610000,32490000,129960000.0,103640000.0,HKD,"占全球发售所得款项净额约23.0%,将用于升级公司的标志性演出《印象·大红袍》山水实景演出,包括根据集团于2024年12月有条件采纳的《印象大红袍实景演艺升级改造方案》进行(i)硬件检修;(ii)演出内容升级;及(iii)演出场馆检修。占全球发售所得款项净额约28.6%,将适用于(i)于2025年进一步发展印象建州美食主题街区,将其转化为一个充满活力的景点,向旅客提供现有服务项目以外的演出艺术体验。占全球发售所得款项净额约20.0%,将用于通过向现有文化旅游演出项目注入公司的管理经验和创新的运营模式,取得另一个优质文化旅游演出项目。占全球发售所得款项净额约11.0%,将用于提升品牌形象及扩大业务影响力的宣传工作,特别是提高升级后的标志性演出、新演出《月映武夷》、印象文旅小镇和茶汤酒店的知名度。占全球发售所得款项净额约7.4%,将用于升级公司的票务管理系统及软件,旨在(i)实现各业务分部服务组合和运营数据的无缝整合;(ii)于各业务分部实行实时监控,确保数据呈列一致;(iii)实现数据驱动管理和营销;及(iv)利用运营数据,为管理层决策提供意见。占全球发售所得款项净额约10.0%,将用作营运资金和其他一般企业用途。",3397.48,1.91,,首发信息一览
3881.HK,希迪智驾,2025-12-19,2026-01-16,2025-12-11,2025-12-16,2025-12-11,2025-12-18,主板,"发售以供认购,发售以供配售",是,263.0,263.0,263.0,10,2656.52,5407980,270400,5137580,1422298740.0,1309030000.0,HKD,所得款项净额中约55%将在未来五年内用于公司的研发。所得款项净额中约15%将用于提高国内外商业化能力及进一步加强公司与国内及全球客户的合作。所得款项净额中约20%将用于旨在进一步整合产业链上下游资源的潜在投资及并购机会。所得款项净额中约10%将用于营运资金及一般公司用途。,22.55,2.1,38.394927496034,首发信息一览
2546.HK,智汇矿业,2025-12-19,2025-12-18,2025-12-11,2025-12-16,2025-12-17,2025-12-18,主板,"发售以供认购,发售以供配售",是,4.1,4.51,4.51,1000,4555.48,121952000,12196000,109756000,550003520.0,495100000.0,HKD,"占全球发售所得款项净额约29.2%,将用于全面提升采矿能力。占全球发售所得款项净额约23.4%,将用于增加公司在西藏采矿权范围内的探矿投资。占全球发售所得款项净额约18.7%,将用于提升选矿生产能力及优化精矿生产能力,以支持公司的可持续增长。占全球发售所得款项净额约14.0%,将用于投资及收购具有增长潜力的资产。占全球发售所得款项净额约7.7%,将于2030年之前用作营运资金及其他一般企业用途。占全球发售所得款项净额约7.0%,将于2026年之前用作偿还银行贷款。",5248.15,2.68,40.784078981895,首发信息一览
3887.HK,HASHKEY HLDGS,2025-12-17,2026-01-12,2025-12-09,2025-12-12,2025-12-15,2025-12-16,主板,"发售以供认购,发售以供配售",是,5.95,6.95,6.68,400,2808.04,240570000,24057200,216512800,1612968832.0,1485020781.0,HKD,"公司将拨支所得款项净额的约40.0%用于在未来三到五年内升级技术及基础设施。所得款项净额的约40.0%将在未来三到五年用于扩大营运团队、提高知名度及建立生态系统合作伙伴关系。所得款项净额的约10.0%将在未来三到五年用于进一步加强公司的营运及风险管理。所得款项净额余下约10.0%将用于营运资金及一般企业用途,为公司提供更大的财务灵活性,以支持公司的日常营运及应对不断变化的业务需求。",393.71,5.46,36.202903640484,首发信息一览
2655.HK,果下科技,2025-12-16,2026-01-09,2025-12-08,2025-12-11,2025-12-08,2025-12-15,主板,"发售以供认购,发售以供配售",是,20.1,20.1,20.1,100,2030.26,33852900,3385300,30467600,899885040.0,809750000.0,HKD,"约44.0%将用于提升公司的研发能力。约19.0%将用于建设海外运营及服务网络,以支持国际化增长策略。约27.0%将用于扩大公司大型储能系统产品、工商业储能系统产品及户用储能系统产品的产能,从而有效支持公司的成长策略,并大幅降低因现有产能限制所导致的外包依存度。约10.0%将用作营运资金及作其他一般公司用途。",1890.73,3.63,8.2510539346226,首发信息一览
7618.HK,京东工业,2025-12-11,2026-01-07,2025-12-03,2025-12-08,2025-12-09,2025-12-10,主板,"发售以供认购,发售以供配售",是,12.7,15.5,14.1,200,3131.26,211208800,21121000,190087800,3033843420.0,2881700000.0,HKD,约35%的募集资金净额预计在未来48至60个月用于进一步增强公司的工业供应链能力;约25%的募集资金净额预计在未来48至60个月用于跨地域的业务扩张;约30%的募集资金净额预计将用于潜在战略投资或收购;约10%的募集资金净额预计将用于一般公司用途及营运资金需要。,60.52,7.88,43.627577193816,首发信息一览
2665.HK,图达通,2025-12-10,2025-12-09,,,2025-12-09,2025-12-09,主板,发售以供配售,是,10.0,10.0,10.0,,,37081637,,,370816370.0,360500000.0,HKD,(i)约60%将用于研发新激光雷达架构、硬件及软件升级;(ii)约20%将用于升级现有生产线;(iii)约10%将用于继承公司的全球扩张;及(iv)约10%将用于一般公司用途。,,,,首发信息一览
2659.HK,宝济药业-B,2025-12-10,2025-12-09,2025-12-02,2025-12-05,2025-12-02,2025-12-09,主板,"发售以供认购,发售以供配售",是,26.38,26.38,26.38,100,2664.6,37911700,3791200,34120500,1000110646.0,921500000.0,HKD,"约53.5%将用于核心产品(包括KJ017、KJ103及SJ02)的研发及商业化。约17.7%将用于推进公司的其他现有管线产品及筹备相关登记备案。约8.4%将用于持续优化专有合成生物学技术平台,以及研究和开发新候选药物。约10.4%将用于提升及扩大生产能力。为满足商业化后对候选药物不断增长的需求,公司计划新建一条10,000L原料药生产线,以提升产能及效率,同时改善工艺稳定性、效率及质量控制。约10.0%将用作营运资金及一般公司用途。",3526.34,6.59,20.057396529304,首发信息一览
2676.HK,纳芯微,2025-12-08,2026-01-02,2025-11-28,2025-12-03,2025-12-04,2025-12-05,主板,"发售以供认购,发售以供配售",是,,116.0,116.0,100,11716.99,19068400,1906900,17161500,2331020000.0,2211300000.0,HKD,"约18%预计将用于提升公司的底层技术能力及工艺平台。约22%预计将用于进一步丰富公司的产品组合,重点扩大汽车电子应用中的产品。约25%预计将用于扩展公司的海外销售网络及于海外市场推广公司的产品。约25%预计将用于战略投资及/或收购,以实现公司的长期增长策略。约10%预计将用于营运资金及一般企业用途。",25.33,2.65,46.719084349341,首发信息一览
2687.HK,卓越睿新,2025-12-08,2025-12-05,2025-11-28,2025-12-03,2025-12-04,2025-12-05,主板,"发售以供认购,发售以供配售",是,62.26,76.1,67.5,100,7686.75,6666700,666700,6000000,450002250.0,393650000.0,HKD,所得款项净额的约36.7%预期将用于公司的研发。所得款项净额的约31.8%预期将用于提升公司的客户服务及支持能力。所得款项净额的约21.5%预期将用于在选定城市设立知识图谱构建中心。所得款项净额的约10.0%预期将用于营运资金及一般公司用途。,4813.4,2.33,,首发信息一览
2408.HK,遇见小面,2025-12-05,2026-01-01,2025-11-27,2025-12-02,2025-12-03,2025-12-04,主板,"发售以供认购,发售以供配售",是,5.64,7.04,7.04,500,3555.51,97364500,9736500,87628000,685446080.0,617000000.0,HKD,约60.0%用于拓展餐厅网络、扩大地理覆盖范围及加深市场渗透。约10.0%用于通过升级整个餐厅网络的技术及数字系统提升公司的信息技术能力。约10.0%用于品牌建设及进一步提高客户忠诚度。约10.0%用于对中国内地上游食品加工行业潜力公司的战略投资。约10.0%用于一般公司用途及营运资金。,425.97,4.99,24.950058799665,首发信息一览
2658.HK,天域半导体,2025-12-05,2026-01-01,2025-11-27,2025-12-02,2025-11-27,2025-12-04,主板,"发售以供认购,发售以供配售",是,58.0,58.0,58.0,50,2929.24,30070500,3007050,27063450,1744089000.0,1673100000.0,HKD,"约62.5%预计将于未来五年内用于扩张公司的整体产能,从而提升公司的市场份额及产品竞争力;约15.1%预计将于未来五年内用于提升公司的自主研发及创新能力,以提高产品(如8英吋多层结构超高压器件材料及超级结低阻材料)质量及缩短新产品(如8英吋键合工艺)的开发周期,从而更迅速地回应市场需求;约10.8%预计将用于战略投资及╱或收购,以扩大客户群、丰富公司的产品组合及补充公司的技术,从而实现公司的长远发展策略;约2.1%预计将用于扩展公司的全球销售及市场营销网络;约9.5%预计将用于营运资金及一般企业用途。",60.63,2.47,9.2610698192581,首发信息一览
2693.HK,金岩高岭新材,2025-12-03,2025-12-28,2025-11-25,2025-11-28,2025-11-25,2025-12-02,主板,"发售以供认购,发售以供配售",是,7.3,7.3,7.3,500,3686.82,24300000,2430000,21870000,177390000.0,124300000.0,HKD,"约70.8%将用于未来两年莫来石基铝矽系材料深加工项目,旨在提高耐火用莫来石材料的产能。约20.6%将用于建立矽铝新材料工程技术研究中心,从而显著提升公司的研发能力,以持续开发新产品。约0.6%将用于偿还公司若干银行贷款的本金总额及应计利息。约8.0%将分配至营运资金及一般企业用途。",6876.17,2.01,42.9670781893,首发信息一览
2539.HK,乐摩科技,2025-12-03,2025-12-02,2025-11-25,2025-11-28,2025-12-01,2025-12-02,主板,"发售以供认购,发售以供配售",是,27.0,40.0,40.0,100,4040.35,5555600,555600,5000000,222224000.0,182160000.0,HKD,"约占所得款项净额的60.0%,将用于扩大公司的服务网点的覆盖范围及渗透率。约占所得款项净额的20.0%,将用于持续提升和迭代公司的技术。约占所得款项净额的10.0%,将用于提升公司的品牌知名度及曝光度。约占所得款项净额的10.0%,将用作运营资金及其他一般公司用途。",7324.29,6.78,,首发信息一览
9609.HK,海伟股份,2025-11-28,2025-12-28,2025-11-20,2025-11-25,2025-11-20,2025-11-27,主板,"发售以供认购,发售以供配售",是,14.28,14.28,14.28,200,2884.8,30831400,3083200,27748200,531424488.0,476160000.0,HKD,所得款项净额的约82.0%预期将用于进一步扩大公司的产能;所得款项净额的约5.0%预期将用于提升公司的研发能力;所得款项净额的约3.0%预期将用于销售及营销活动;所得款项净额的约10.0%预期将用作营运资金及用于其他一般企业用途。,5426.27,6.11,40.65339947225,首发信息一览
2685.HK,量化派,2025-11-27,2025-12-24,2025-11-19,2025-11-24,2025-11-25,2025-11-26,主板,"发售以供认购,发售以供配售",是,8.8,9.8,9.8,500,4949.42,13347500,1335000,12012500,147955500.0,29350000.0,HKD,约55%将获分配用于提高公司的研发能力及改善公司的撮合服务的技术基础设施;约45%将获分配用于推广公司的业务模式。,9366.28,15.07,,首发信息一览
2788.HK,创新实业,2025-11-24,2025-12-19,2025-11-14,2025-11-19,2025-11-20,2025-11-21,主板,"发售以供认购,发售以供配售",是,10.18,10.99,10.99,500,5550.42,500000000,50000000,450000000,6319250000.0,6124600000.0,HKD,"约50.0%预期将用于拓展海外产能,包括建设一家电解铝冶炼厂以及购买及安装生产设备;约40.0%预期将用于公司的绿色能源项目,包括建设绿色能源发电站(特别是风力发电站及太阳能发电站第二期建设)以及购买及安装其所用设备;约10.0%预期将用于营运资金及一般公司用途。",447.2,19.85,43.182260869565,首发信息一览
2579.HK,中伟新材,2025-11-17,2025-12-12,2025-11-07,2025-11-12,2025-11-13,2025-11-16,主板,"发售以供认购,发售以供配售",是,34.0,37.8,34.0,200,7636.24,104225400,10422600,93802800,3543663600.0,3432609775.0,HKD,约50.0%将用于扩大生产及供应链能力;约40.0%将用作新能源电池材料的研发及数字化推进;约10.0%将用作营运资金及其他一般企业用途。,27.9,4.08,46.794316198637,首发信息一览
2698.HK,乐舒适,2025-11-10,2025-12-05,2025-10-31,2025-11-05,2025-11-06,2025-11-07,主板,"发售以供认购,发售以供配售",是,24.2,26.2,26.2,200,5292.85,90884000,9088400,81795600,2738334920.0,2573320000.0,HKD,"约71.4%预计将用作扩大公司的整体产能及升级公司的生产线;约11.6%预计将于2026年至2029年用作在非洲、拉丁美洲及中亚进行营销及推广活动;约4.7%预计将用作战略收购卫生用品行业的业务;约0.4%预计将用作升级公司的CRM系统,并于2026年至2029年逐步在公司于多个国家的业务运营中实施;约2.6%预计将用作于2026年至2029年聘用知名管理咨询公司,对新市场(例如秘鲁、墨西哥、萨尔瓦多及哈萨克斯坦)及新产品(例如卫生用品及纸巾产品)进行分析,并就策略执行及企业管理提供意见;约9.3%预计将用作营运资金及一般公司用途。",1813.77,34.33,39.426655670008,首发信息一览
0699.HK,均胜电子,2025-11-06,2025-12-04,2025-10-28,2025-11-03,2025-11-04,2025-11-05,主板,"发售以供认购,发售以供配售",是,,23.6,22.0,500,11919.01,155100000,15510000,139590000,3412200000.0,3252500000.0,HKD,"所得款项净额的约35.0%,预期将用于通过投资于公司的汽车智能解决方案和前沿技术的研发和商业化,提升公司在智能汽车科技行业的领导地位,把握下游汽车行业的变革机遇。所得款项净额的约35.0%,预期将用于改善公司的生产制造能力及成本效益以及优化公司的供应链管理。所得款项净额的约10.0%,预期将用于扩大公司的海外业务市场占有率,并与整车厂客户合作实现海外扩展。所得款项净额的约10.0%,预期将用于具有与公司业务在技术专长、业务营运和品牌概况方面互补的标的潜在投资和并购机会,旨在巩固公司在汽车行业电动化和智能化趋势中的市场地位。所得款项净额的约10.0%,预期将用于营运资金及一般企业用途。",147.67,9.78,24.382333978079,首发信息一览
0800.HK,文远知行-W,2025-11-06,2025-12-03,2025-10-28,2025-11-03,2025-11-04,2025-11-05,主板,"发售以供认购,发售以供配售",是,,35.0,27.1,100,3535.3,88250000,4412500,83837500,2391575000.0,2264340000.0,HKD,"约40.0%的所得款项净额将用于开发公司的自动驾驶技术栈,包括基础设施和核心能力、数据、自动驾驶技术解决方案和运营平台;约40.0%的所得款项净额将用于加快公司L4级车队的商业化量产及╱或运营,以提升公司自动驾驶产品和解决方案的质量,并在未来五年扩大公司的业务规模;约10.0%的所得款项净额将用于建立必要的营销团队和分支机构,以拓展现有市场和更多市场,以及投资于未来五年的营销活动。约10.0%的所得款项净额将用作营运资金和一般企业用途。",73.44,9.85,,首发信息一览
2630.HK,旺山旺水-B,2025-11-06,2025-12-03,2025-10-28,2025-11-03,2025-11-04,2025-11-05,主板,"发售以供认购,发售以供配售",是,32.0,34.0,33.37,200,6868.57,17597800,1759800,15838000,587238586.0,527360000.0,HKD,约38.0%将用于公司核心产品的研发;约27.0%将用于公司其他候选产品的研发;约10.0%将用于建设公司的青岛工厂;约15.0%将用于强化公司的销售及营销能力;约10.0%将用于营运资金及其他一般公司用途。,6238.42,16.87,,首发信息一览
